generation,best_penalty,average_penalty
950,46.0,76.0
951,46.0,80.0
952,46.0,88.0
953,46.0,84.0
954,46.0,83.0
955,46.0,82.0
956,46.0,85.0
957,46.0,96.0
958,46.0,111.0
959,46.0,75.0
960,46.0,89.0
961,46.0,72.0
962,46.0,68.0
963,46.0,71.0
964,46.0,67.0
965,46.0,62.0
966,46.0,58.0
967,46.0,66.0
968,46.0,61.0
969,46.0,82.0
970,46.0,80.0
971,46.0,76.0
972,46.0,74.0
973,46.0,71.0
974,46.0,90.0
975,46.0,77.0
976,46.0,74.0
977,46.0,82.0
978,46.0,85.0
979,46.0,75.0
980,46.0,81.0
981,46.0,97.0
982,46.0,79.0
983,46.0,86.0
984,46.0,91.0
985,46.0,92.0
986,46.0,71.0
987,46.0,72.0
988,46.0,73.0
989,46.0,83.0
990,46.0,97.0
991,46.0,78.0
992,46.0,85.0
993,46.0,70.0
994,46.0,88.0
995,46.0,93.0
996,46.0,82.0
997,46.0,89.0
998,46.0,82.0
999,46.0,78.0
1000,46.0,71.0
1001,46.0,76.0
1002,46.0,70.0
1003,46.0,90.0
1004,46.0,71.0
1005,46.0,92.0
1006,46.0,101.0
1007,46.0,95.0
1008,46.0,90.0
1009,46.0,74.0
1010,46.0,83.0
1011,46.0,94.0
1012,46.0,73.0
1013,46.0,66.0
1014,46.0,74.0
1015,46.0,77.0
1016,46.0,81.0
1017,46.0,91.0
1018,46.0,74.0
1019,46.0,69.0
1020,46.0,85.0
1021,46.0,98.0
1022,46.0,70.0
1023,46.0,66.0
1024,46.0,68.0
1025,46.0,74.0
1026,46.0,76.0
1027,46.0,67.0
1028,46.0,62.0
1029,46.0,79.0
1030,46.0,96.0
1031,46.0,86.0
1032,46.0,76.0
1033,46.0,79.0
1034,46.0,77.0
1035,46.0,75.0
1036,46.0,80.0
1037,46.0,85.0
1038,46.0,88.0
1039,46.0,89.0
1040,46.0,75.0
1041,46.0,90.0
1042,46.0,80.0
1043,46.0,91.0
1044,46.0,101.0
1045,46.0,95.0
1046,46.0,89.0
1047,46.0,90.0
1048,46.0,93.0
1049,46.0,99.0
1050,46.0,75.0
1051,46.0,75.0
1052,46.0,76.0
1053,46.0,87.0
1054,46.0,77.0
1055,46.0,84.0
1056,46.0,100.0
1057,46.0,75.0
1058,46.0,87.0
1059,46.0,81.0
1060,46.0,82.0
1061,46.0,83.0
1062,46.0,111.0
1063,46.0,109.0
1064,46.0,112.0
1065,46.0,113.0
1066,46.0,93.0
1067,46.0,103.0
1068,46.0,90.0
1069,46.0,89.0
1070,46.0,104.0
1071,46.0,84.0
1072,46.0,97.0
1073,46.0,98.0
1074,46.0,95.0
1075,46.0,100.0
1076,46.0,99.0
1077,46.0,98.0
1078,46.0,95.0
1079,46.0,96.0
1080,46.0,91.0
